                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3155,                 2.2951,                 1.4749,                0.38855,                0.61459,                 0.5492,                0.34568,                 1.1763,                 5.3953,                 1.4381,              0.0002858,              0.0002858,              0.0002858
                      2,                 1.1073,                 1.2055,                 1.3321,                0.51235,                 0.4159,                0.45714,                  0.297,                 1.2029,                 3.4769,                 1.5931,             0.00056269,             0.00056269,             0.00056269
                      3,                 1.0475,                 1.0388,                 1.2429,                0.47224,                0.63824,                 0.6351,                0.44715,                 1.0312,                 5.7779,                 1.4452,             0.00081581,             0.00081581,             0.00081581
                      4,                 1.0806,                 1.0609,                 1.2325,                0.50142,                0.59909,                0.58456,                 0.4187,                 1.0095,                 4.2241,                 1.3765,              0.0010452,              0.0010452,              0.0010452
                      5,                  1.043,                 1.0005,                  1.225,                0.61573,                0.58176,                 0.5395,                0.40002,                0.94369,                 3.2439,                 1.3067,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.0402,                 0.9412,                 1.1965,                0.47378,                0.51938,                0.48607,                 0.3355,                 1.0331,                 5.5583,                 1.3828,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.0012,                0.93442,                 1.1809,                0.63953,                0.61861,                0.62498,                0.45269,                 1.0028,                 1.2952,                 1.3084,              0.0010895,              0.0010895,              0.0010895
                      8,                0.99579,                0.88016,                 1.1807,                0.64151,                0.40647,                0.42074,                0.32073,                 1.8903,                 1.8333,                 2.0076,              0.0010329,              0.0010329,              0.0010329
                      9,                 0.9658,                0.86574,                 1.1562,                0.60262,                 0.5309,                0.60152,                0.43413,                  1.195,                0.91795,                 1.3451,             0.00097629,             0.00097629,             0.00097629
                     10,                0.98352,                0.85359,                 1.1492,                0.80855,                0.62726,                0.64015,                0.46243,                 1.0903,                0.90517,                 1.3032,              0.0009197,              0.0009197,              0.0009197
                     11,                0.98589,                0.82348,                 1.1484,                0.81063,                0.63311,                0.64805,                0.46722,                 1.0554,                0.71555,                 1.2851,             0.00086312,             0.00086312,             0.00086312
                     12,                0.94978,                0.79662,                 1.1474,                0.72754,                0.59818,                0.61984,                0.46763,                0.99049,                0.74288,                 1.2331,             0.00080653,             0.00080653,             0.00080653
                     13,                0.91455,                0.77081,                 1.1264,                0.69818,                0.60673,                0.62505,                0.48498,                0.95196,                0.57422,                 1.2191,             0.00074994,             0.00074994,             0.00074994
                     14,                0.90612,                0.78436,                 1.1237,                0.64908,                0.62116,                0.63376,                0.49418,                0.94189,                0.89022,                  1.202,             0.00069335,             0.00069335,             0.00069335
                     15,                0.87698,                 0.7291,                 1.1201,                 0.7378,                0.62798,                0.63939,                0.49749,                0.87801,                0.51493,                  1.176,             0.00063676,             0.00063676,             0.00063676
                     16,                0.80811,                 0.7281,                 1.0724,                0.55402,                  0.497,                0.50675,                 0.3938,                0.94063,                 1.6302,                  1.198,             0.00058017,             0.00058017,             0.00058017
                     17,                0.71839,                0.57411,                  1.052,                0.70282,                 0.6382,                0.64148,                0.50006,                0.95405,                0.93917,                  1.221,             0.00052359,             0.00052359,             0.00052359
                     18,                0.75299,                0.57498,                 1.0575,                 0.7397,                0.65434,                0.64943,                0.49487,                0.92399,                0.56688,                 1.2057,               0.000467,               0.000467,               0.000467
                     19,                0.77776,                 0.5459,                 1.0587,                0.74732,                0.64582,                 0.6484,                0.49809,                0.91476,                0.53355,                 1.1932,             0.00041041,             0.00041041,             0.00041041
                     20,                0.77487,                0.56601,                 1.0543,                0.73416,                0.63996,                0.64438,                0.50841,                0.91326,                0.51646,                 1.1989,             0.00035382,             0.00035382,             0.00035382
                     21,                0.72477,                 0.4875,                 1.0456,                0.76175,                0.64535,                0.64604,                0.50292,                0.91042,                0.51865,                 1.2014,             0.00029723,             0.00029723,             0.00029723
                     22,                0.70461,                 0.4416,                 1.0419,                0.74695,                0.64408,                0.64664,                0.50403,                0.90596,                0.46869,                  1.186,             0.00024064,             0.00024064,             0.00024064
                     23,                0.70809,                0.46474,                 1.0324,                0.73393,                0.65506,                0.64422,                0.50757,                 0.8912,                0.46868,                 1.1802,             0.00018406,             0.00018406,             0.00018406
                     24,                0.69897,                0.42786,                  1.024,                0.71516,                0.65506,                0.64656,                0.51341,                0.86607,                0.44765,                 1.1637,             0.00012747,             0.00012747,             0.00012747
                     25,                0.67133,                0.45774,                 1.0359,                0.72332,                0.66471,                0.64625,                0.51575,                0.87007,                0.44172,                 1.1661,             7.0878e-05,             7.0878e-05,             7.0878e-05
